n,Hannanum,Kkma,Komoran,Mecab,Twitter
1,0.42760276794433594,0.0009493827819824219,0.0012350082397460938,3.1948089599609375e-05,0.0010139942169189453
10,0.0009710788726806641,0.0005717277526855469,0.0007543563842773438,3.886222839355469e-05,0.0008299350738525391
100,0.0008420944213867188,0.0007967948913574219,0.0007181167602539062,3.409385681152344e-05,0.0007660388946533203
1000,0.0008282661437988281,0.0006728172302246094,0.0004918575286865234,2.193450927734375e-05,0.0004711151123046875
10000,0.0005257129669189453,0.0004930496215820312,0.0004911422729492188,3.1948089599609375e-05,0.0004799365997314453
100000,0.0006098747253417969,0.0005331039428710938,0.0005519390106201172,2.288818359375e-05,0.00047397613525390625
