1135581,Chic sun filled Bondi Penthouse,"<span data-reactid=""60"">후기 191개</span>"
1135582,Executive home with NW appeal,"<span data-reactid=""60""><span class=""text_5mbkop-o_O-size_reduced_1oti1ib-o_O-inline_g86r3e"" data-reactid=""61""><span data-reactid=""62"">후기 44개</span></span><span content=""44"" data-reactid=""63"" itemprop=""reviewCount""></span></span>"
